"year","quarter","quarter_total","quarter_mean","quarter_median","quarter_over_year_gross","quarter_st_dev","num_of_movies","standard_error","confidence_low_95","confidence_high_95","quarter_performance","quarter_over_year_sd"
"2010","4",2721768576,97206020.5714286,91998585.5,0.292097615425945,61761101.095405,28,11671751.0139972,78007698.5831808,116404342.559676,0.316971123023708,0.0273595160024682
"2011","1",1336988443,63666116.3333333,58009200,0.147608122013761,26135413.3758841,21,5703214.76733097,54285162.8380058,73047069.8286609,0.154192942132363,0.0312756382123211
"2011","2",3084103388,118619361.076923,104189080.5,0.340495620274377,83234144.8404981,26,16323558.7976503,91769496.1838523,145469225.969994,0.292730512754174,0.0454698864256692
"2011","3",2166144431,90256017.9583333,73946135.5,0.239149794558454,78193910.289155,24,15961265.1001161,64002073.1676734,116509962.748993,0.236105422089755,0.0313623168870503
"2011","4",2470452602,85188020.7586207,75624550,0.272746463153407,58351682.6826212,29,10835635.4489494,67364986.4900924,103011055.027149,0.316971123023708,0.0273595160024682
"2012","1",2128206882,88675286.75,63448107,0.212081253041158,79401737.5594662,24,16207811.8092562,62015808.7105981,115334764.789402,0.154192942132363,0.0312756382123211
"2012","2",2829069662,104780357.851852,59650222,0.281924019667598,121203240.477888,27,23325574.5055212,66413202.0257186,143147513.677985,0.292730512754174,0.0454698864256692
"2012","3",2145353677,85814147.08,51854875,0.213789974970401,91852074.4472709,25,18370414.8894542,55597503.520478,116030790.639522,0.236105422089755,0.0313623168870503
"2012","4",2932235433,122176476.375,99566737,0.292204752320843,83188267.3548847,24,16980733.9671412,94245654.5208497,150107298.22915,0.316971123023708,0.0273595160024682
"2013","1",1584292148,75442483.2380952,57012977,0.15748920078633,53799162.6992147,21,11739939.7806855,56132000.7096428,94752965.7665477,0.154192942132363,0.0312756382123211
"2013","2",2990122127,135914642.136364,104494442,0.297238072302024,98400657.2312566,22,20979090.6115668,101407108.853784,170422175.418943,0.292730512754174,0.0454698864256692
"2013","3",2393486443,82534015.2758621,71017784,0.237928507994465,67159736.167111,29,12471249.9194333,62020634.613264,103047395.93846,0.236105422089755,0.0313623168870503
"2013","4",3091786804,110420957.285714,62825679,0.307344218917181,108143639.15022,28,20437226.7903566,76804710.6747665,144037203.896662,0.316971123023708,0.0273595160024682
"2014","1",1618954371,80947718.55,60227898,0.168904905710946,54024921.1299516,20,12080339.6125637,61077328.1234691,100818108.976531,0.154192942132363,0.0312756382123211
"2014","2",2761000928,125500042.181818,112539303,0.288054197057834,81353810.1758439,22,17344690.6077483,96970564.9273123,154029519.436324,0.292730512754174,0.0454698864256692
"2014","3",2071261497,76713388.7777778,50837305,0.216093939471194,68961349.127257,27,13271617.8274339,54883520.0588094,98543257.4967462,0.236105422089755,0.0313623168870503
"2014","4",3133788235,101089943.064516,66954149,0.326946957760027,85804698.4229461,31,15410978.7755696,75741138.7306484,126438747.398384,0.316971123023708,0.0273595160024682
"2015","1",1689068638,76775847.1818182,50625343,0.16364793973869,57983554.9478174,22,12362135.4517196,56441943.8471919,97109750.5164445,0.154192942132363,0.0312756382123211
"2015","2",3072264642,139648392.818182,61628374,0.29766095212723,167424497.037298,22,35695022.7038296,80935305.2596725,198361480.376691,0.292730512754174,0.0454698864256692
"2015","3",2332599744,80434473.9310345,58884188,0.225997412865702,68760162.9010015,29,12768441.7030107,59432256.285319,101436691.57675,0.236105422089755,0.0313623168870503
"2015","4",3227422935,119534182.777778,70259870,0.312693695268378,177017565.069072,27,34067046.2813068,63498878.1424466,175569487.413109,0.316971123023708,0.0273595160024682
"2016","1",2004498972,91113589.6363636,49848366,0.193075982859198,106800099.379547,22,22769857.6945697,53660506.6222818,128566672.650445,0.154192942132363,0.0312756382123211
"2016","2",2568219571,122296170.047619,65075540,0.247374293923586,129667374.501184,21,28295740.8960888,75753818.0074083,168838522.08783,0.292730512754174,0.0454698864256692
"2016","3",2662495117,95089111.3214286,74456214.5,0.25645503876696,81406560.6546761,28,15384393.8986692,69784035.2187525,120394187.424105,0.236105422089755,0.0313623168870503
"2016","4",3146704082,108507037.310345,60323786,0.303094684450256,109293389.010421,29,20295272.8328062,75124284.1813339,141889790.439356,0.316971123023708,0.0273595160024682
"2017","1",2311466284,105066649.272727,60947519,0.225046119072556,109174047.971946,22,23275985.2350607,66781060.5379688,143352238.007486,0.154192942132363,0.0312756382123211
"2017","2",2588865433,107869393.041667,51956182,0.252053911636352,111118342.87008,24,22681936.7579439,70560927.0990788,145177858.984255,0.292730512754174,0.0454698864256692
"2017","3",1957911117,88995959.8636364,51514935,0.190623718554687,89504810.5102699,22,19082489.7180627,57608057.4396167,120383862.287656,0.236105422089755,0.0313623168870503
"2017","4",3412835350,106651104.6875,56076127.5,0.332276250736405,129130349.500949,32,22827236.4472776,69103642.0239167,144198567.351083,0.316971123023708,0.0273595160024682
